"Part Number","Library Ref","Capacitance","Case/Package","Description","Manufacturer","Manufacturer Part Number","Mount","Max Power Dissipation","Direction","HelpURL","Max Breakdown Voltage","Working Voltage","Max Operating Temperature","Min Breakdown Voltage","RoHS","Height","Footprint Ref","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1","Status"
"P40-G240-WH","P40-G240-WH","0uF",,"Bidirectional High-Speed Overcurrent Protector.","Bourns","P40-G240-WH","Surface Mount","0W",,"http://www.bourns.com/docs/Product-Datasheets/P40-G.pdf",,"0V",,"0V",,,,,,,
"P6SMB15A","TVS_BI","0uF",,,"Littelfuse","P6SMB15A","Surface Mount","0W",,"http://datasheet.octopart.com/P6SMB15A-Littelfuse-datasheet-68508758.pdf",,"0V",,"0V",,,,,,,
"PESD0402-140","TVS_BI","0.25pF","0402","Bidirectional protection","Littelfuse","PESD0402-140","Surface Mount",,"Bidirectional","https://datasheet.octopart.com/PESD0402-140-Littelfuse-datasheet-11092697.pdf","40V","14V",,"40V","Compliant","0.35mm","TVS_0402_1005",,,,
"PESD5V2S2UT.215","TVS_DOUBLE_SOT23-3","0uF",,"Double ESD protection diodes","Nexperia","PESD5V2S2UT.215","Surface Mount","0W",,"http://www.tme.eu/en/Document/261ec6993ac66148c5792dbb8ac50fb2/PESD5V2S2UT.pdf",,"0V",,"0V",,,,,,,
"PS04LTVA1","TVS_BI","0uF",,,"Bussmann","PS04LTVA1","Surface Mount","0W",,"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4083_PSO4LTVA1.pdf",,"0V",,"0V",,,,,,,
"PS04LTVA1","TVS_BI","0uF",,,"Bussmann","PS04LTVA1","Surface Mount","0W",,"https://pl.mouser.com/datasheet/2/87/31fc02c3-c2a7-4757-9ba5-5a4597d899a4-33212.pdf",,"0V",,"0V",,,,,,,
"SMAJ16A","TVS_UNI","300pF","SMA","TVS DIODE 16V SMA","Bourns","SMAJ16A","Surface Mount","400W","Unidirectional","https://datasheet.octopart.com/SMAJ24A-Bourns-datasheet-13385887.pdf","19.7V","16V","150°C","17.8V","Compliant","2.42mm","DO-214AC","Mouser","652-SMAJ16A",,
"SMAJ16CA","TVS_BI","0uF","SMA","Bidirectional TVS 16V","Bourns","SMAJ16CA","Surface Mount","400W","Bidirectional","https://datasheet.octopart.com/SMAJ24A-Bourns-datasheet-13385887.pdf","19.7V","16V","150","17.8V","Compliant","2.42mm","DO-214AC","Mouser","652-SMAJ16CA",,
"SMAJ20CA-E3/5A","TVS_BI","0uF","SMA","Diode TVS Single Bi-Dir 20V 400W 2-Pin SMA T/R","Vishay","SMAJ20CA-E3/5A","Surface Mount","400W","Bidirectional","http://datasheet.octopart.com/P6SMB15A-Littelfuse-datasheet-68508758.pdf",,"0V","150°C","22.2V",,,"DO-214AC",,,,
"SMAJ24A","TVS_UNI","0uF","DO-214AC","TVS Unidirectional 24V","Bourns","SMBJ24A","Surface Mount","400W","Unidirectional","https://pl.mouser.com/datasheet/2/54/MAJ-778033.pdf","29.5V","24V","150","26.7V","Compliant","2.42mm","DO-214AC",,,,
"SMAJ28A","TVS_UNI","300pF","SMA","TVS DIODE 28V 45.4V SMA","Bourns","SMAJ28A","Surface Mount","400W","Unidirectional",,"34.4V","3.5V","150°C","31.1V",,"2.42mm",,,,,
"SMAJ28CA","TVS_BI","0uF","SMA","TVS DIODE 28VWM 45.4VC DO214AC","Bourns","SMAJ28CA","Surface Mount","400W","Bidirectional",,,"0V","150°C","31.1V",,,,,,,
"SMAJ5.0A-13-F","TVS_UNI","0uF",,,"Diodes Inc","SMAJ5.0A-13-F","Surface Mount","0W",,"http://datasheet.octopart.com/SMAJ5.0A-13-F-Diodes-Inc.-datasheet-8324759.pdf",,"0V",,"0V",,,,,,,
"SMBJ26A","TVS_UNI","0uF","DO-214AC","ESD Suppressors / TVS Diodes 400W 26V 5% Uni-Directional","Littelfuse","SMBJ26A","Surface Mount","400w","Unidirectional","https://pl.mouser.com/datasheet/2/240/Littelfuse_TVS_Diode_SMAJ_Datasheet.pdf-540740.pdf","31.9","26V","150","28.9","Compliant","2.29","DO-214AC",,,,
"SMBJ26CA","TVS_BI","0uF",,,"Littelfuse","SMBJ26CA","Surface Mount","0W",,"http://datasheet.octopart.com/SMBJ26CA-Littelfuse-datasheet-10854588.pdf",,"0V",,"0V",,,,,,,
"SMBJ45A","TVS_UNI","0uF",,,"Littelfuse","SMBJ45A","Surface Mount","0W",,"https://datasheet.octopart.com/SMBJ45A-Littelfuse-datasheet-10854588.pdf",,"0V",,"0V",,,,,,,
"SMBJ51A","TVS_UNI","0uF",,,"Littelfuse","SMBJ51A","Surface Mount","0W",,"http://www.littelfuse.com/~/media/electronics/datasheets/tvs_diodes/littelfuse_tvs_diode_smbj_datasheet.pdf.pdf",,"0V",,"0V",,,,,,,
"SMDJ12CA","TVS_BI","0uF",,"Transient Voltage Suppression Diode","Littelfuse","SMDJ12CA","Surface Mount","6.5W",,"http://datasheet.octopart.com/P6SMB15A-Littelfuse-datasheet-68508758.pdf","14.7V","0V","150°C","13.3V",,,,,,,
"SPHV12-01ETG-C","TVS_BI","30pF","SOD","ESD Suppressor TVS 12V Automotive 2-Pin SOD-882 T/R","Littelfuse","SPHV12-01ETG-C","Surface Mount","200W","Bidirectional",,,"12V","125°C","13.3V",,,,,,,
"TBU-CA065-500-WH","TVS_TBU-CAXXX-XX-WH","0uF",,"Bidirectional High-Speed Overcurrent Protector.","Bourns","TBU-CA065-500-WH","Surface Mount","0W",,"https://datasheet.octopart.com/TBU-CA065-500-WH-Bourns-datasheet-13546931.pdf",,"0V",,"0V",,,,,,,
"TBU-CA085-300-WH","TVS_TBU-CAXXX-XX-WH","0uF",,"Bidirectional High-Speed Overcurrent Protector.","Bourns","TBU-CA085-300-WH","Surface Mount","0W",,"http://www.bourns.com/docs/Product-Datasheets/TBU-CA.pdf",,"0V",,"0V",,,,,,,
"TPD1E10B06DPYR","TVS_BI","12pF","0402","Single-Channel ESD in 0402 Package With 10pF Capacitance and 6V Breakdown","Texas Instruments","TPD1E10B06DPYR","Surface Mount","90W","Bidirectional","http://www.ti.com/lit/ds/symlink/tpd1e10b06.pdf","8V","5.5V","125°C","6V","Compliant","0.35mm","DFN100X60X40-2N",,,,
