"Part Number","Library Ref","Footprint Ref","Contact Gender","Description","Pitch","Series","Mount","Height","HelpURL","Max Operating Temperature","Number of Rows","Number of Pins","RoHS","Manufacturer","Manufacturer Part Number","Status","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"43645-0200","43645-0200","43645-0200","Plug","Micro-Fit 3.0 Receptacle Housing, Single Row, 2 Circuits","3mm","Micro-Fit","Cable","5.3mm","https://www.molex.com/pdm_docs/sd/436450200_sd.pdf","105°C","1","2",,"Molex","43645-0200",,,,
"43645-0400","43645-0400","43645-0400","Plug","Micro-Fit 3.0 Receptacle Housing, Single Row, 4 Circuits","3mm","Micro-Fit","Cable","5.3mm","https://www.molex.com/pdm_docs/sd/436450400_sd.pdf","105°C","1","4",,"Molex","43645-0400",,,,
"43650-0200","HEADER_1x2","43650-0200","Receptacle","Micro-Fit 3.0 Header, Single Row, 2 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","5.57mm","https://datasheet.octopart.com/43650-0200-Molex-datasheet-13785692.pdf","105°C","1","2",,"Molex","43650-0200",,,,
"43650-0300","HEADER_1x3","43650-0300","Receptacle","Micro-Fit 3.0 Header, Single Row, 3 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","14.4mm","https://www.molex.com/pdm_docs/sd/436500300_sd.pdf","105°C","1","3",,"Molex","43650-0300",,,,
"43650-0400","HEADER_1x4","43650-0400","Receptacle","Micro-Fit 3.0 Header, Single Row, 4 Circuits, Right Angle","3mm","Micro-Fit","Cable, Through Hole","4.5mm","https://www.molex.com/pdm_docs/sd/436500400_sd.pdf","105°C","1","4",,"Molex","43650-0400",,,,
"66200113722DEC","66200113722DEC",,,"WR-MP3 Crimp Terminal 24-20 AWG, Bag","0mm","WR-MPC3","Cable",,"https://katalog.we-online.com/em/datasheet/66200113722DEC.pdf","105","1","1","Compliant","Wurth Electronics","66200113722DEC","MK","eiSos",,
"662002013322","662002013322",,"Receptacle","WR-MPC3 Receptacle Housing, Single Row, 2 Circuits","3mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/6620xx013322-537840.pdf","105°C","1","2","Compliant","Wurth Electronics","662002013322","MK","eiSos",,
"66200211022","HEADER_1x2","66200211022","Header","WR-MPC3 Header, Single Row, 2 Circuits, Right Angle","3mm","WR-MPC3","Through Hole",,"https://www.farnell.com/cad/2553761.pdf?_ga=2.22040891.1031211784.1562161048-107379758.1547716783","105°C","1","2","Compliant","Wurth Electronics","66200211022",,"eiSos",,
"662002113322","662002113322",,"Receptacle","WR-MPC3 Receptacle Housing, Dual Row, 2 Circuits","3 mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/6620xx113322-537841.pdf","105°C","2","2","Compliant","Wurth Electronics","662002113322",,"eiSos",,
"66200221022","HEADER_1x2","66200221022","Header","WR-MPC3 Header, Dual Row, 2 Circuits, Right Angle","3mm","WR-MPC3","Through Hole",,"https://pl.mouser.com/datasheet/2/445/6620xx11122-336086.pdf","105°C","2","2","Compliant","Wurth Electronics","66200221022",,"eiSos",,
"662002230822","HEADER_1x2","662002230822","Header","WR-MPC3 Header, Dual Row, 2 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","2","Compliant","Wurth Electronics","662002230822",,"eiSos",,
"662002236022","HEADER_1x2","662002236022","Header","WR-MPC3 Header, Dual Row, 2 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.com/em/datasheet/6620xx236022.pdf","105°C","2","2","Compliant","Wurth Electronics","662002236022","MK","eiSos",,
"662004013322","662004013322",,"Receptacle","WR-MPC3 Receptacle Housing, Single Row, 4 Circuits","3mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/6620xx013322-537840.pdf","105°C","1","4","Compliant","Wurth Electronics","662004013322",,"eiSos",,
"66200411022","HEADER_1x4","66200411022","Header","WR-MPC3 Header, Single Row, 4 Circuits, Right Angle","3mm","WR-MPC3","Through Hole",,"https://katalog.we-online.de/em/datasheet/6620xx11022.pdf","105°C","1","4","Compliant","Wurth Electronics","66200411022",,"eiSos",,
"662004113322","662004113322",,"Receptacle","WR-MPC3 Receptacle Housing, Dual Row, 4 Circuits","3mm","WR-MPC3","Cable",,"https://katalog.we-online.de/em/datasheet/6620xx113322.pdf","105","2","4","Compliant","Wurth Electronics","662004113322","MK","eiSos",,
"662004230822","HEADER_2x2","662004230822","Header","WR-MPC3 Header, Dual Row, 4 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","4","Compliant","Wurth Electronics","662004230822",,"eiSos",,
"662004236022","HEADER_2x2","662004236022","Header","WR-MPC3 Header, Dual Row, 4 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","4","Compliant","Wurth Electronics","662004236022","MK","eiSos",,
"662005013322","662005013322",,,"WR-MPC3 Receptacle Housing, Dual Row, 5 Circuits","3mm","WR-MPC3","Cable",,"https://katalog.we-online.de/em/datasheet/6620xx013322.pdf","105","1","5","Compliant","Wurth Electronics","662005013322","MK","eiSos",,
"662006113322","662006113322",,"Receptacle","WR-MPC3 Receptacle Housing, Dual Row, 6 Circuits","3mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/6620xx113322-537841.pdf","105°C","2","6","Compliant","Wurth Electronics","662006113322",,"eiSos",,
"66200621022","HEADER_2x3","66200621022","Header","WR-MPC3 Header, Dual Row, 6 Circuits, Right Angle","3mm","WR-MPC3","Through Hole",,"https://pl.mouser.com/datasheet/2/445/6620xx11122-336086.pdf","105°C","2","6","Compliant","Wurth Electronics","66200621022",,"eiSos",,
"662006230822","HEADER_2x3","662006230822","Header","WR-MPC3 Header, Dual Row, 6 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","6","Compliant","Wurth Electronics","662006230822",,"eiSos",,
"662006236022","HEADER_2x3","662006236022","Header","WR-MPC3 Header, Dual Row, 6 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","6","Compliant","Wurth Electronics","662006236022","MK","eiSos",,
"662024113322","662024113322",,"Receptacle","WR-MPC3 Receptacle Housing, Dual Row, 24 Circuits","3mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/6620xx113322-537841.pdf","105°C","2","24","Compliant","Wurth Electronics","662024113322",,"eiSos",,
"66202421022","HEADER_2x12","66202421022","Header","WR-MPC3 Header, Dual Row, 24 Circuits, Right Angle","3mm","WR-MPC3","Through Hole",,"https://pl.mouser.com/datasheet/2/445/6620xx11122-336086.pdf","105°C","2","24","Compliant","Wurth Electronics","66202421022",,"eiSos",,
"662024230822","HEADER_2x12","662024230822","Header","WR-MPC3 Header, Dual Row, 24 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6620xx230822.pdf","105°C","2","24","Compliant","Wurth Electronics","662024230822",,"eiSos",,
"66210113722","66210113722",,"Crimp Terminal","WR-MPC3 Crimp Terminal 20-24 AWG, Reel","3mm","WR-MPC3","Cable",,"https://pl.mouser.com/datasheet/2/445/66200113722-538096.pdf","105°C","0","0","Compliant","Wurth Electronics","66210113722",,"eiSos",,
"662102130822","HEADER_1x2","662102130822","Header","WR-MPC3 Header, Single Row, 2 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6621xx130822.pdf","105°C","1","2","Compliant","Wurth Electronics","662102130822",,"eiSos",,
"662102136022","HEADER_1x2","662102136022","Header","WR-MPC3 Header, Single Row, 2 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6621xx130822.pdf","105°C","1","2","Compliant","Wurth Electronics","662102136022","MK","eiSos",,
"662103130822","HEADER_1x3","662103130822","Header","WR-MPC3 Header, Single Row, 3 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6621xx130822.pdf","105°C","1","3","Compliant","Wurth Electronics","662103130822",,"eiSos",,
"662103136022","HEADER_1x3","662103136022","Header","WR-MPC3 Header, Single Row, 3 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6621xx130822.pdf","105°C","1","3","Compliant","Wurth Electronics","662103136022","MK","eiSos",,
"662104130822","HEADER_1x4","662104130822","Header","WR-MPC3 Header, Single Row, 4 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.de/em/datasheet/6621xx130822.pdf","105°C","1","4","Compliant","Wurth Electronics","662104130822",,"eiSos",,
"662104136022","HEADER_1x4","662104136022","Header","WR-MPC3 Header, Single  Row, 4 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.com/em/datasheet/6621xx136022.pdf","105°C","1","4","Compliant","Wurth Electronics","662104136022","MK","eiSos",,
"662105136022","HEADER_1x5","662105136022","Header","WR-MPC3 Header, Single  Row, 5 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.com/em/datasheet/6621xx136022.pdf","105°C","1","5","Compliant","Wurth Electronics","662105136022","MK","eiSos",,
"662106136022","HEADER_1x6","662106136022","Header","WR-MPC3 Header, Single  Row, 6 Circuits, Right Angle, THT Retention Clip","3mm","WR-MPC3","Surface Mount",,"https://katalog.we-online.com/em/datasheet/6621xx136022.pdf","105°C","1","6","Compliant","Wurth Electronics","662106136022","MK","eiSos",,
"PJ-067B","PJ-067B","PJ-067B","Receptacle","DC Power Jack 2.5mm 5.5mm","0mm",,"Through Hole",,"https://pl.mouser.com/datasheet/2/670/pj-067b-1312675.pdf","70","1","3",,"CUI","PJ-067B",,,,
